player	team	score	minutes	pm	tags	pops	grabs	drops	hold	captures	prevent	returns	pups	pupscomp	flaccids	longholds	handoff	goodhandoff	goregrab	coregrab	gohandoff	cohandoff	retinbase	quickret	saves	holdagainst	
titanblue	HGW	763	200	9	201	366	321	291	2084	28	502	147	60	414	104	26	97	61	66	9	34	3	38	26	1	4713	
ShinjukuGirl		813	260	-5	222	407	350	317	2225	26	849	169	55	576	108	25	89	59	78	9	35	2	37	38	1	7401	
Maru		993	280	-1	238	475	413	369	3356	40	768	190	70	612	106	41	109	80	89	16	33	4	53	46	3	7855	
NEB.		1118	280	-1	352	278	163	149	1066	13	3660	289	75	612	48	13	42	25	45	2	11	0	119	108	7	7855	
Ball-erina	PKP	878	268	-2	178	464	433	393	2687	37	548	121	72	612	118	21	111	66	104	13	32	1	29	29	4	6720	
top kekker	LAA	1153	280	-2	388	253	143	132	723	8	5017	317	81	612	48	3	39	23	34	0	18	0	133	128	3	6720	
YuuStare		609	160	-11	197	127	66	61	470	3	2300	172	38	342	25	7	20	15	11	1	9	1	64	53	1	4635	
grumpy		1070	280	-2	356	235	141	129	794	11	4704	292	59	612	45	4	54	20	29	2	17	3	117	109	4	6720	
FM		1145	280	27	360	230	147	136	1106	11	4544	303	71	612	44	13	51	30	43	6	12	1	139	129	1	6572	
Cheetosrule		1024	280	52	290	405	354	318	2355	30	1298	220	74	612	98	19	106	70	84	13	36	2	67	64	2	7334	
Destar		207	80	-8	54	136	110	105	612	5	207	34	24	180	30	5	32	21	33	1	11	0	7	5	1	2124	
ez	MIA	1186	280	52	253	384	352	303	2806	47	942	195	87	612	79	34	122	79	74	13	27	2	56	47	4	7334	
Xile	MIA	520	120	31	167	94	62	56	557	5	1932	145	29	252	10	5	20	10	19	3	4	0	67	54	1	3003	
Suchit		1279	280	52	364	281	206	179	1585	25	3643	312	81	612	44	15	62	40	83	9	16	4	126	114	0	7334	
FK		1150	280	27	388	218	119	108	698	10	4862	338	64	612	30	6	39	28	31	2	7	0	150	126	0	6572	
GOOBR		1082	280	27	225	441	409	363	2687	43	1027	160	69	612	99	21	112	71	78	7	49	5	57	46	0	6572	
Bal McCartny		1027	280	-52	409	291	164	157	758	7	4063	370	67	612	63	3	46	30	45	3	15	0	182	154	4	7392	
inthesomeday	SSC	392	120	-15	106	165	148	134	919	12	366	61	42	270	45	8	32	17	39	4	16	2	20	18	1	3031	
d0pe	QUE	761	280	-24	202	497	448	420	2756	23	589	159	63	612	136	21	119	75	68	2	46	2	31	31	7	7352	
thenewguy.	MIA	1194	280	6	334	329	257	226	1646	27	3074	283	96	612	83	19	64	38	38	4	28	2	118	102	1	6787	
Raven		1102	280	-24	356	250	189	173	1316	14	3297	297	86	612	46	9	48	28	46	6	12	2	135	122	0	7379	
First	KCX	747	240	-56	192	407	332	304	1913	25	718	159	55	522	121	16	80	50	55	3	26	4	39	36	4	6105	
aaron	LAA	1153	280	-24	378	268	152	138	888	13	3819	307	95	612	60	9	57	30	24	1	18	2	147	125	3	7352	
aardvark	SSC	708	239	-58	248	306	210	194	1105	15	1917	194	54	504	79	11	47	28	33	2	24	3	60	59	6	6288	
DAD.	2BP	1063	280	15	271	280	238	210	1715	22	2214	217	79	612	60	16	84	58	48	5	19	1	51	52	6	7887	
BALLDON'TLIE	MBM	1178	280	-25	372	286	228	202	1740	26	2870	298	97	612	62	19	73	44	62	9	26	4	123	109	2	7976	
Air Jordan		1035	280	15	267	409	322	292	2109	30	1477	192	66	612	112	22	78	51	74	7	24	1	63	47	2	7887	
Ty	LAA	1221	280	15	374	289	217	196	1763	20	2864	296	106	612	69	22	70	51	47	5	13	0	102	87	6	7887	
#SelfySyntax	MIA	850	280	-53	175	409	354	325	2394	24	1165	124	82	612	103	17	89	58	104	11	33	2	33	27	2	7564	
Messi	DPS	900	277	5	204	400	368	329	2894	39	859	150	63	612	86	29	105	69	100	13	27	1	57	49	3	7411	
BIG CLEFFA		1126	280	5	402	212	128	116	683	11	4167	347	62	612	49	4	39	22	38	7	8	0	148	138	1	7411	
Deafheaven		923	280	5	219	432	395	357	2621	34	965	161	81	612	108	20	108	72	100	13	29	2	46	36	6	7411	
team		115	40	-16	34	63	58	54	334	2	110	27	12	90	15	3	18	9	11	0	5	0	5	5	0	1119	
Juke of Yore		232	60	6	50	66	50	43	399	7	431	41	20	171	14	5	17	10	16	2	3	0	16	10	2	1858	
Airmigo		64	23	-11	19	23	15	15	76	0	405	18	5	81	3	0	6	4	6	0	1	0	10	11	0	809	
GRIMROG		341	80	18	84	148	139	125	797	13	309	58	25	162	58	10	44	29	30	2	10	2	19	24	0	1669	
Pro Boat		661	160	21	207	189	117	108	834	8	2293	176	44	360	40	11	26	16	30	3	10	1	77	66	3	4331	
Squeeb		473	120	0	128	124	97	84	560	10	1834	110	24	234	26	4	30	20	31	2	10	1	49	45	1	3170	
IfYouSeekAmy	LMP	116	52	-11	32	84	62	60	305	1	122	28	12	126	18	0	13	8	13	0	8	1	4	4	1	1480	
St. Bernard	MBM	345	80	9	97	49	22	20	234	2	1225	82	24	162	5	4	6	4	3	0	1	0	40	30	2	2119	
KIDDO116		460	120	17	78	199	176	156	1254	19	280	58	48	270	51	14	49	36	27	3	9	0	19	17	0	2779	
Sugar		137	40	-9	51	41	30	29	156	1	443	44	10	108	7	1	4	4	15	1	3	0	18	16	0	1151	
Will1119		157	40	-2	18	59	51	45	334	6	99	16	16	108	12	1	14	4	13	2	1	0	3	2	0	1033	
Acuraun		59	20	-7	21	25	10	10	41	0	231	17	5	54	1	0	4	4	1	0	2	0	7	6	0	493	
